Age,Mu,Sigma,Lambda,Sex
0,9.880571858,0.15507769,2.108856863,Male
0.01,12.41011782,0.144241054,1.832693374,Male
0.02,13.10463154,0.141400548,1.756869754,Male
0.03,13.594997,0.139423839,1.703187993,Male
0.04,13.98359971,0.137861022,1.660158306,Male
0.05,14.31070228,0.136549326,1.62360809,Male
0.06,14.59573512,0.135409001,1.591487111,Male
0.07,14.84835086,0.134394316,1.562604535,Male
0.08,15.0746698,0.13347635,1.536206457,Male
0.09,15.27918271,0.132635523,1.511795411,Male
0.1,15.46492902,0.131857931,1.489047331,Male
0.11,15.63418944,0.13113329,1.467725156,Male
0.12,15.78889266,0.130453746,1.447644161,Male
0.13,15.93098941,0.129813161,1.428656552,Male
0.14,16.06213228,0.129206628,1.410642154,Male
0.15,16.18365954,0.128630158,1.393501749,Male
0.16,16.29668674,0.128080456,1.377152451,Male
0.17,16.40220931,0.127554761,1.361524843,Male
0.18,16.50111016,0.127050738,1.346560137,Male
0.19,16.59410258,0.126566391,1.332210419,Male
0.2,16.68164607,0.126100018,1.318444602,Male
0.21,16.76410746,0.125650142,1.30523698,Male
0.22,16.84180459,0.125215469,1.292563768,Male
0.23,16.91499231,0.124794857,1.280402852,Male
0.24,16.98389455,0.124387296,1.268733694,Male
0.25,17.04871561,0.123991885,1.2575372,Male
0.26,17.10964255,0.123607818,1.246795583,Male
0.27,17.16683407,0.12323437,1.236492087,Male
0.28,17.22037923,0.122870888,1.226610409,Male
0.29,17.27032489,0.122516777,1.217134995,Male
0.3,17.31672734,0.122171496,1.208051375,Male
0.31,17.359682,0.121834554,1.199346596,Male
0.32,17.39923767,0.121505501,1.191009302,Male
0.33,17.4354223,0.121183926,1.183028881,Male
0.34,17.46826224,0.120869449,1.175395242,Male
0.35,17.49776949,0.120561721,1.168098708,Male
0.36,17.52393268,0.120260416,1.161129882,Male
0.37,17.54675521,0.119965233,1.154479795,Male
0.38,17.56626265,0.119675895,1.148139788,Male
0.39,17.58254911,0.119392143,1.142100806,Male
0.4,17.59576629,0.119113739,1.136352943,Male
0.41,17.60606742,0.118840462,1.130886574,Male
0.42,17.61358989,0.118572102,1.125692583,Male
0.43,17.61844165,0.118308464,1.120762225,Male
0.44,17.62072024,0.118049367,1.116087218,Male
0.45,17.6205187,0.117794638,1.111659825,Male
0.46,17.6179128,0.117544115,1.107472843,Male
0.47,17.61297119,0.117297645,1.103519464,Male
0.48,17.6057591,0.117055084,1.099793213,Male
0.49,17.59634827,0.116816296,1.0962878,Male
0.5,17.58484477,0.116581155,1.09299672,Male
0.51,17.57137081,0.11634954,1.089913292,Male
0.52,17.55609294,0.116121339,1.087029701,Male
0.53,17.53917956,0.115896448,1.084338196,Male
0.54,17.5207881,0.115674765,1.081831444,Male
0.55,17.5010659,0.115456195,1.07950251,Male
0.56,17.48015114,0.115240647,1.077344843,Male
0.57,17.45817338,0.115028033,1.075352237,Male
0.58,17.43525294,0.114818271,1.073518783,Male
0.59,17.41149801,0.11461128,1.071838829,Male
0.6,17.38701095,0.114406984,1.070307001,Male
0.61,17.36189535,0.114205311,1.068918252,Male
0.62,17.33624813,0.114006189,1.067667773,Male
0.63,17.3101516,0.113809553,1.066550911,Male
0.64,17.28367611,0.113615338,1.06556322,Male
0.65,17.25686822,0.113423482,1.064700488,Male
0.66,17.22976707,0.113233926,1.0639587,Male
0.67,17.20240964,0.113046615,1.063334019,Male
0.68,17.1748309,0.112861494,1.062822773,Male
0.69,17.14706396,0.11267851,1.062421449,Male
0.7,17.11913884,0.112497614,1.06212667,Male
0.71,17.0910813,0.112318756,1.061935165,Male
0.72,17.06292437,0.11214189,1.061843808,Male
0.73,17.03470293,0.111966971,1.061849619,Male
0.74,17.00645454,0.111793956,1.061949777,Male
0.75,16.97821595,0.111622802,1.062141586,Male
0.76,16.95002023,0.111453469,1.062422443,Male
0.77,16.92189181,0.111285918,1.062789807,Male
0.78,16.89385052,0.111120111,1.063241209,Male
0.79,16.86590985,0.110956012,1.063774249,Male
0.8,16.83808571,0.110793585,1.064386641,Male
0.81,16.81039559,0.110632796,1.065076201,Male
0.82,16.78285934,0.110473611,1.065840854,Male
0.83,16.75549121,0.110316,1.06667857,Male
0.84,16.72830326,0.11015993,1.067587384,Male
0.85,16.70130675,0.110005371,1.068565403,Male
0.86,16.67451231,0.109852295,1.069610803,Male
0.87,16.64793006,0.109700672,1.070721822,Male
0.88,16.62156961,0.109550475,1.071896759,Male
0.89,16.59544007,0.109401677,1.07313397,Male
0.9,16.56954953,0.109254252,1.074431866,Male
0.91,16.54390393,0.109108175,1.075788923,Male
0.92,16.51851059,0.108963422,1.077203691,Male
0.93,16.49337963,0.108819968,1.078674756,Male
0.94,16.46852949,0.10867779,1.080200682,Male
0.95,16.44397475,0.108536867,1.081780041,Male
0.96,16.41972795,0.108397176,1.083411453,Male
0.97,16.39580288,0.108258697,1.085093574,Male
0.98,16.37222001,0.108121409,1.086825098,Male
0.99,16.34900072,0.107985293,1.088604757,Male
1,16.32616549,0.107850329,1.090431321,Male
