"","Age","Mu","Sigma","Lambda","Sex"
"1",0,47.6102381337689,0.0877560059454588,1,"Male"
"2",0.01,49.6472763167154,0.0822683350507992,1,"Male"
"3",0.02,50.5926365995159,0.0798395027675376,1,"Male"
"4",0.03,51.3377293578366,0.0779756264883997,1,"Male"
"5",0.04,51.9768095214249,0.0764106057176244,1,"Male"
"6",0.05,52.5473874848575,0.0750380976220678,1,"Male"
"7",0.06,53.0692518172636,0.0738022232040535,1,"Male"
"8",0.07,53.5541230691102,0.0726693787552987,1,"Male"
"9",0.08,54.0095804711554,0.0716175691577276,1,"Male"
"10",0.09,54.4406008397203,0.0706315678970872,1,"Male"
"11",0.1,54.8504716933872,0.0697006403772399,1,"Male"
"12",0.11,55.2416304507588,0.0688167458365669,1,"Male"
"13",0.12,55.6161239919956,0.0679737857650003,1,"Male"
"14",0.13,55.976089566728,0.0671675102799739,1,"Male"
"15",0.14,56.3233822057263,0.0663945669238774,1,"Male"
"16",0.15,56.6595322142638,0.0656521409364692,1,"Male"
"17",0.16,56.9858206000005,0.064937806220235,1,"Male"
"18",0.17,57.3033009239354,0.0642493496940461,1,"Male"
"19",0.18,57.6127390554646,0.0635847880573917,1,"Male"
"20",0.19,57.9147654916335,0.0629423714909252,1,"Male"
"21",0.2,58.2099341207995,0.0623205176749779,1,"Male"
"22",0.21,58.4987325993619,0.0617178194119692,1,"Male"
"23",0.22,58.7815820982506,0.0611330281185076,1,"Male"
"24",0.23,59.0588180332926,0.0605650305251215,1,"Male"
"25",0.24,59.3307313872756,0.0600128277390106,1,"Male"
"26",0.25,59.5975843040843,0.0594755188277566,1,"Male"
"27",0.26,59.8596140126111,0.0589522876100238,1,"Male"
"28",0.27,60.117043907753,0.0584423801267758,1,"Male"
"29",0.28,60.3701322868787,0.0579450758913442,1,"Male"
"30",0.29,60.6192164191058,0.0574597525691695,1,"Male"
"31",0.3,60.8646286523437,0.0569858388642078,1,"Male"
"32",0.31,61.1066597228996,0.0565227769047923,1,"Male"
"33",0.32,61.3455134390257,0.0560700813233873,1,"Male"
"34",0.33,61.5813966258925,0.0556273061125818,1,"Male"
"35",0.34,61.8145204904516,0.0551940289229088,1,"Male"
"36",0.35,62.0451437951236,0.05476984218116,1,"Male"
"37",0.36,62.2735846591527,0.0543544146184264,1,"Male"
"38",0.37,62.5001173244483,0.0539474979776688,1,"Male"
"39",0.38,62.7249821988644,0.0535488656897788,1,"Male"
"40",0.39,62.9483744731285,0.0531582941835083,1,"Male"
"41",0.4,63.1704311192992,0.0527755897168995,1,"Male"
"42",0.41,63.3912702119481,0.0524005718606325,1,"Male"
"43",0.42,63.610987644092,0.0520330761634106,1,"Male"
"44",0.43,63.8296155651581,0.05167297967685,1,"Male"
"45",0.44,64.047160341756,0.0513201787157237,1,"Male"
"46",0.45,64.2635864271559,0.0509745975388825,1,"Male"
"47",0.46,64.4788377535784,0.0506361452515643,1,"Male"
"48",0.47,64.6928583988826,0.0503047256396592,1,"Male"
"49",0.48,64.9055958090885,0.0499802431305421,1,"Male"
"50",0.49,65.1169984418281,0.0496626003715448,1,"Male"
"51",0.5,65.3270094488875,0.0493516910407988,1,"Male"
"52",0.51,65.5355663992343,0.0490474086397696,1,"Male"
"53",0.52,65.7425836100623,0.0487496499640414,1,"Male"
"54",0.53,65.9479734233159,0.0484583142005547,1,"Male"
"55",0.54,66.1516528267286,0.0481733026403052,1,"Male"
"56",0.55,66.3535444951752,0.0478945166181036,1,"Male"
"57",0.56,66.5535804220444,0.0476218516304223,1,"Male"
"58",0.57,66.7516973971152,0.0473552039692929,1,"Male"
"59",0.58,66.9478392295483,0.0470944717967252,1,"Male"
"60",0.59,67.14196765491,0.0468395522716219,1,"Male"
"61",0.6,67.3340495878134,0.0465903427588051,1,"Male"
"62",0.61,67.5240516014582,0.0463467364075579,1,"Male"
"63",0.62,67.7119404351171,0.0461086262535363,1,"Male"
"64",0.63,67.8976804576622,0.0458759019002572,1,"Male"
"65",0.64,68.0812384503202,0.0456484540506109,1,"Male"
"66",0.65,68.2625894381819,0.0454261732323505,1,"Male"
"67",0.66,68.4417113271396,0.0452089528915871,1,"Male"
"68",0.67,68.6185831244139,0.0449966902613935,1,"Male"
"69",0.68,68.7931848775461,0.0447892861911547,1,"Male"
"70",0.69,68.9654976174897,0.0445866449861537,1,"Male"
"71",0.7,69.1354991738613,0.0443886740693112,1,"Male"
"72",0.71,69.3031501557683,0.0441952821506128,1,"Male"
"73",0.72,69.468401299304,0.0440063763723184,1,"Male"
"74",0.73,69.631204051071,0.0438218647070768,1,"Male"
"75",0.74,69.791513982732,0.0436416531846336,1,"Male"
"76",0.75,69.9492889971402,0.0434656499311214,1,"Male"
"77",0.76,70.1044927181795,0.0432937663712471,1,"Male"
"78",0.77,70.2571062165771,0.0431259171016802,1,"Male"
"79",0.78,70.4071188476397,0.0429620195042508,1,"Male"
"80",0.79,70.5545336256119,0.0428019918011591,1,"Male"
"81",0.8,70.6993542710139,0.0426457502864233,1,"Male"
"82",0.81,70.8415828686893,0.0424932120021722,1,"Male"
"83",0.82,70.9812202228099,0.0423442921031656,1,"Male"
"84",0.83,71.1182763596747,0.042198905606809,1,"Male"
"85",0.84,71.2527657368736,0.0420569693918101,1,"Male"
"86",0.85,71.3847108622564,0.0419184006972615,1,"Male"
"87",0.86,71.5141357511876,0.0417831190576301,1,"Male"
"88",0.87,71.6410638087638,0.0416510468401762,1,"Male"
"89",0.88,71.7655178528985,0.0415221091187729,1,"Male"
"90",0.89,71.8875201362696,0.0413962335545937,1,"Male"
"91",0.9,72.0070935643786,0.041273348942513,1,"Male"
"92",0.91,72.1242582758434,0.0411533828441882,1,"Male"
"93",0.92,72.2390074786491,0.0410362705123953,1,"Male"
"94",0.93,72.3513264808738,0.0409219502221195,1,"Male"
"95",0.94,72.4611984303138,0.0408103591372101,1,"Male"
"96",0.95,72.5686164124284,0.0407014350382142,1,"Male"
"97",0.96,72.6735764723498,0.040595117564255,1,"Male"
"98",0.97,72.7760782448375,0.0404913485424846,1,"Male"
"99",0.98,72.8761348605192,0.0403900725788299,1,"Male"
"100",0.99,72.9737625171401,0.0402912362638955,1,"Male"
"101",1,73.0689770758597,0.0401947878688702,1,"Male"
"102",1.01,73.161804336081,0.0401006784930069,1,"Male"
"103",1.02,73.2523102915481,0.0400088655559828,1,"Male"
"104",1.03,73.3405699830388,0.03991930822243,1,"Male"
"105",1.04,73.42666230173,0.0398319644243156,1,"Male"
"106",1.05,73.5106780427061,0.039746793612675,1,"Male"
"107",1.06,73.5927103759932,0.03966375426349,1,"Male"
"108",1.07,73.6728594811138,0.0395828057624944,1,"Male"
"109",1.08,73.7512182789722,0.0395039064865489,1,"Male"
"110",1.09,73.8278904356472,0.0394270186118389,1,"Male"
"111",1.1,73.9029810487909,0.0393521055616035,1,"Male"
"112",1.11,73.9765980781503,0.0392791298904547,1,"Male"
"113",1.12,74.0488688143298,0.0392080578460652,1,"Male"
"114",1.13,74.119919637687,0.0391388580811215,1,"Male"
"115",1.14,74.1898606724821,0.0390715026264048,1,"Male"
"116",1.15,74.2587909916268,0.039005965175946,1,"Male"
"117",1.16,74.3267866801485,0.0389422212319449,1,"Male"
"118",1.17,74.3939181739866,0.0388802468095534,1,"Male"
"119",1.18,74.460260558652,0.0388200164628753,1,"Male"
"120",1.19,74.5258935439338,0.0387615033087622,1,"Male"
"121",1.2,74.5908965590903,0.0387046801732361,1,"Male"
"122",1.21,74.655347244175,0.0386495213037277,1,"Male"
"123",1.22,74.7193142511473,0.0385960142662653,1,"Male"
"124",1.23,74.7828574052228,0.0385441551988393,1,"Male"
"125",1.24,74.8460610916448,0.0384939450433458,1,"Male"
"126",1.25,74.9090044395624,0.03844538588539,1,"Male"
"127",1.26,74.9717517655809,0.0383984815480097,1,"Male"
"128",1.27,75.0343632090786,0.0383532356502653,1,"Male"
"129",1.28,75.0968964586062,0.0383096489806757,1,"Male"
"130",1.29,75.1594066085276,0.0382677198492696,1,"Male"
"131",1.3,75.2219553269394,0.0382274462874696,1,"Male"
"132",1.31,75.2846051354923,0.0381888264493445,1,"Male"
"133",1.32,75.3474172672788,0.0381518585826439,1,"Male"
"134",1.33,75.4104520284114,0.0381165405257956,1,"Male"
"135",1.34,75.4737697972878,0.0380828682177727,1,"Male"
"136",1.35,75.5374300540967,0.0380508372621365,1,"Male"
"137",1.36,75.6014930028949,0.0380204428243159,1,"Male"
"138",1.37,75.6660252799532,0.0379916778169069,1,"Male"
"139",1.38,75.7310940982585,0.037964534791377,1,"Male"
"140",1.39,75.7967653462355,0.0379390065561489,1,"Male"
"141",1.4,75.8631036215433,0.0379150861734489,1,"Male"
"142",1.41,75.9301703935524,0.037892766899683,1,"Male"
"143",1.42,75.9980167446529,0.0378720420500691,1,"Male"
"144",1.43,76.0666839420601,0.0378529052726281,1,"Male"
"145",1.44,76.1362111384067,0.0378353496125416,1,"Male"
"146",1.45,76.2066383903452,0.0378193648715991,1,"Male"
"147",1.46,76.2780054020445,0.0378049403093536,1,"Male"
"148",1.47,76.3503514613034,0.0377920650979336,1,"Male"
"149",1.48,76.4237167925436,0.0377807266332331,1,"Male"
"150",1.49,76.4981413996046,0.0377709100304308,1,"Male"
"151",1.5,76.5736603399099,0.0377625981792483,1,"Male"
