"","Age","Mu","Sigma","Lambda","Sex"
"1",0,2.5996379448256,0.165248801005849,3.50514108980497,"Male"
"2",0.01,2.94194858831142,0.164032947431625,3.42174187825055,"Male"
"3",0.02,3.1557232257648,0.16327818309609,3.36965867092638,"Male"
"4",0.03,3.33815162085313,0.162636555048422,3.32519315993043,"Male"
"5",0.04,3.5026000087957,0.16205943253558,3.28504928127826,"Male"
"6",0.05,3.65513022141184,0.161526307040233,3.24784114285618,"Male"
"7",0.06,3.79909936657112,0.161026016685438,3.2128179905341,"Male"
"8",0.07,3.93644868921908,0.160551619252229,3.17951461953845,"Male"
"9",0.08,4.06846628884579,0.160098419403366,3.14761730194021,"Male"
"10",0.09,4.19606291170838,0.159663047576383,3.1169017831838,"Male"
"11",0.1,4.31973284894312,0.159242981190386,3.08720035059308,"Male"
"12",0.11,4.43980236840728,0.158836268580389,3.05838344618928,"Male"
"13",0.12,4.55652147925486,0.158441359498624,3.03034836588058,"Male"
"14",0.13,4.67008573377702,0.158056995946262,3.00301192874227,"Male"
"15",0.14,4.78065067722047,0.157682138816725,2.97630555645156,"Male"
"16",0.15,4.88834176059073,0.157315916880395,2.95017185496092,"Male"
"17",0.16,4.99327276703624,0.156957589530259,2.92456221231318,"Male"
"18",0.17,5.09557669525048,0.15660651609213,2.89943515629949,"Male"
"19",0.18,5.19535480655063,0.156262133070604,2.87475496298291,"Male"
"20",0.19,5.29267860279441,0.155923947068387,2.85049048723253,"Male"
"21",0.2,5.38757174030533,0.155591528260778,2.82661434115866,"Male"
"22",0.21,5.48004346098505,0.155264496559922,2.80310227862634,"Male"
"23",0.22,5.57008942170467,0.154942511579987,2.77993269943556,"Male"
"24",0.23,5.65766374931262,0.154625263303218,2.75708623984356,"Male"
"25",0.24,5.74271238920664,0.154312470962623,2.73454546560215,"Male"
"26",0.25,5.82518349015637,0.154003880133035,2.71229461182017,"Male"
"27",0.26,5.9050272713034,0.153699259305928,2.6903193633176,"Male"
"28",0.27,5.98219433370722,0.153398395894463,2.66860668903329,"Male"
"29",0.28,6.0566445623996,0.153101091521214,2.64714473285031,"Male"
"30",0.29,6.12839082911172,0.152807166276583,2.62592260807944,"Male"
"31",0.3,6.19747161202186,0.15251645549412,2.60493030682441,"Male"
"32",0.31,6.26397350263235,0.152228809450507,2.58415867779384,"Male"
"33",0.32,6.32796968002024,0.151944093391712,2.56359932677774,"Male"
"34",0.33,6.38952361978992,0.151662181262279,2.54324451880292,"Male"
"35",0.34,6.44870610923179,0.151382955419347,2.52308708958226,"Male"
"36",0.35,6.50562842706491,0.151106306499742,2.50312043758042,"Male"
"37",0.36,6.56040386843017,0.150832130089431,2.48333845000271,"Male"
"38",0.37,6.61312880129507,0.150560325469773,2.46373542094215,"Male"
"39",0.38,6.66389768302519,0.150290797694665,2.44430601148862,"Male"
"40",0.39,6.7128245820014,0.150023457273341,2.42504525439401,"Male"
"41",0.4,6.7600282619411,0.149758215799328,2.40594857019239,"Male"
"42",0.41,6.80562292158507,0.149494988773658,2.3870116705633,"Male"
"43",0.42,6.84971320086842,0.149233696899734,2.36823051529829,"Male"
"44",0.43,6.89238223279997,0.148974267367847,2.34960129376128,"Male"
"45",0.44,6.93370683051645,0.148716631516376,2.33112041379861,"Male"
"46",0.45,6.9737643064085,0.14846072297343,2.31278450708398,"Male"
"47",0.46,7.01262116078149,0.14820647716372,2.29459038722893,"Male"
"48",0.47,7.05033886960277,0.147953832359217,2.27653503219453,"Male"
"49",0.48,7.08697638683636,0.147702729801612,2.25861557360469,"Male"
"50",0.49,7.1225982400402,0.147453114244306,2.24082927411035,"Male"
"51",0.5,7.15729790752208,0.147204935928979,2.22317348270098,"Male"
"52",0.51,7.19117997534232,0.146958150477917,2.2056457205803,"Male"
"53",0.52,7.22436303599941,0.146712725754241,2.18824388968677,"Male"
"54",0.53,7.25693094384954,0.146468636768552,2.1709661977099,"Male"
"55",0.54,7.28895356130818,0.146225861172742,2.15381099534778,"Male"
"56",0.55,7.32049809773358,0.145984377983383,2.13677672779087,"Male"
"57",0.56,7.35162218637676,0.145744170606751,2.11986194593084,"Male"
"58",0.57,7.38241637838927,0.145505229543112,2.10306508453092,"Male"
"59",0.58,7.41295888425097,0.145267545867352,2.08638457302285,"Male"
"60",0.59,7.4433110035222,0.145031109403893,2.0698189049023,"Male"
"61",0.6,7.47350890617997,0.144795911352576,2.0533666110911,"Male"
"62",0.61,7.50358393357112,0.144561944271449,2.0370263471095,"Male"
"63",0.62,7.53356671397781,0.144329206861244,2.02079707824091,"Male"
"64",0.63,7.5635223836025,0.144097700470737,2.00467780141699,"Male"
"65",0.64,7.59351835710508,0.143867426053802,1.98866752124929,"Male"
"66",0.65,7.62359634978532,0.143638382294137,1.97276522430598,"Male"
"67",0.66,7.65377585411738,0.143410568675962,1.95696991514623,"Male"
"68",0.67,7.68405393474224,0.143183984449887,1.94128058686844,"Male"
"69",0.68,7.71441723728617,0.14295862724956,1.92569625391216,"Male"
"70",0.69,7.74483612620562,0.142734492778584,1.91021595256927,"Male"
"71",0.7,7.77526792261924,0.142511574804354,1.89483873003911,"Male"
"72",0.71,7.80565703801315,0.142289867412201,1.87956365548964,"Male"
"73",0.72,7.83593226789369,0.142069369334722,1.86438993156209,"Male"
"74",0.73,7.86601651873252,0.141850084865699,1.84931694879338,"Male"
"75",0.74,7.89582861728203,0.141632019708092,1.83434412418091,"Male"
"76",0.75,7.92529096488109,0.141415179381566,1.8194708922101,"Male"
"77",0.76,7.95435303375732,0.141199570641013,1.80469664501134,"Male"
"78",0.77,7.98301779425152,0.140985207182862,1.79002048844494,"Male"
"79",0.78,8.01128606312321,0.1407721034244,1.77544146666163,"Male"
"80",0.79,8.03916608454406,0.140560270919387,1.76095869530952,"Male"
"81",0.8,8.06666948431181,0.14034971962072,1.74657133850617,"Male"
"82",0.81,8.09379903936638,0.140140458609267,1.73227857302504,"Male"
"83",0.82,8.12055135963573,0.139932495286441,1.71807962171325,"Male"
"84",0.83,8.14692848495672,0.139725834968072,1.70397375224601,"Male"
"85",0.84,8.17292876954745,0.139520480071273,1.68996026161565,"Male"
"86",0.85,8.19854672494635,0.139316431725508,1.67603848231402,"Male"
"87",0.86,8.22376742470123,0.139113689132496,1.66220775607676,"Male"
"88",0.87,8.24857386993325,0.138912251034944,1.64846744019541,"Male"
"89",0.88,8.27294504446393,0.138712116358016,1.63481691634562,"Male"
"90",0.89,8.29684437099385,0.138513284967309,1.6212556143466,"Male"
"91",0.9,8.32023521780258,0.138315757347917,1.60778301278818,"Male"
"92",0.91,8.34307809160149,0.138119531717032,1.59439859074058,"Male"
"93",0.92,8.36533963270318,0.137924604491796,1.58110182475631,"Male"
"94",0.93,8.38698118103533,0.137730972694009,1.56789225389662,"Male"
"95",0.94,8.40796499684755,0.137538633949077,1.55476941449376,"Male"
"96",0.95,8.42826101307546,0.137347585848304,1.54173291100426,"Male"
"97",0.96,8.44784837095097,0.137157831664625,1.52878266439917,"Male"
"98",0.97,8.46670271746518,0.136969376174264,1.51591862831673,"Male"
"99",0.98,8.48481035574936,0.136782226627245,1.50314066010527,"Male"
"100",0.99,8.50216164093163,0.136596388712394,1.49044861062475,"Male"
"101",1,8.51874540977634,0.136411867517304,1.47784233713909,"Male"
"102",1.01,8.53455416820306,0.136228669682106,1.46532165052985,"Male"
"103",1.02,8.54962203728513,0.136046806863532,1.452886200481,"Male"
"104",1.03,8.56399357643815,0.13586629149872,1.44053560214473,"Male"
"105",1.04,8.57771383686504,0.135687134521201,1.428269470488,"Male"
"106",1.05,8.59082786358786,0.135509344319195,1.41608743309224,"Male"
"107",1.06,8.60337984964907,0.135332926796755,1.40398913173994,"Male"
"108",1.07,8.61541673118511,0.135157886047897,1.39197422909732,"Male"
"109",1.08,8.62698530065393,0.134984227147809,1.38004240633703,"Male"
"110",1.09,8.63813110409316,0.134811960779981,1.36819342843433,"Male"
"111",1.1,8.64889762794878,0.134641100373743,1.35642712306584,"Male"
"112",1.11,8.65932682319361,0.134471660170584,1.34474323258568,"Male"
"113",1.12,8.66947646227909,0.134303658526996,1.33314116778328,"Male"
"114",1.13,8.67941718983242,0.1341371149458,1.32162026085981,"Male"
"115",1.14,8.68922171713309,0.133972046459931,1.31017986719119,"Male"
"116",1.15,8.69896878813605,0.133808467537383,1.29881939011539,"Male"
"117",1.16,8.70873662456576,0.133646393017181,1.28753826854552,"Male"
"118",1.17,8.71859676336754,0.133485836465105,1.27633594307533,"Male"
"119",1.18,8.72861072145424,0.13332680989951,1.26521183670793,"Male"
"120",1.19,8.73883289314469,0.133169324394201,1.25416536389589,"Male"
"121",1.2,8.74931285433541,0.133013390001235,1.24319594131931,"Male"
"122",1.21,8.76008902940545,0.132859015845374,1.23230297011656,"Male"
"123",1.22,8.77119275214421,0.132706209952089,1.22148584202441,"Male"
"124",1.23,8.78265995957514,0.132554978762317,1.21074395483061,"Male"
"125",1.24,8.79451420250484,0.132405327544435,1.20007670407503,"Male"
"126",1.25,8.80676449942743,0.132257260632336,1.18948347452108,"Male"
"127",1.26,8.81941041956219,0.132110780752919,1.17896364873579,"Male"
"128",1.27,8.83244508248961,0.131965889003228,1.16851660770435,"Male"
"129",1.28,8.8458547343121,0.131822585643701,1.158141721847,"Male"
"130",1.29,8.85963149453484,0.131680871239599,1.14783836344829,"Male"
"131",1.3,8.87376600548245,0.131540745849429,1.13760590539856,"Male"
"132",1.31,8.88824130828821,0.131402209012907,1.12744371247383,"Male"
"133",1.32,8.9030406841113,0.131265259915024,1.1173511601751,"Male"
"134",1.33,8.91815328899389,0.131129896980029,1.10732766225267,"Male"
"135",1.34,8.93356468184526,0.130996119394429,1.09737268523676,"Male"
"136",1.35,8.9492617264462,0.130863925928002,1.08748571962868,"Male"
"137",1.36,8.96523353897635,0.130733314521056,1.07766626599047,"Male"
"138",1.37,8.98147864503681,0.130604282023023,1.0679138422077,"Male"
"139",1.38,8.99799349188564,0.130476824090549,1.05822796572527,"Male"
"140",1.39,9.01477311937248,0.130350935580521,1.04860815867965,"Male"
"141",1.4,9.03181653307872,0.130226610628558,1.0390539631855,"Male"
"142",1.41,9.04912356451483,0.130103842498711,1.02956493124484,"Male"
"143",1.42,9.06669128924858,0.12998262273004,1.02014060334171,"Male"
"144",1.43,9.08451947195154,0.129862941586354,1.01078053475787,"Male"
"145",1.44,9.10260935651749,0.129744788679312,1.00148428929219,"Male"
"146",1.45,9.12097291302058,0.129628152909168,0.992251472058786,"Male"
"147",1.46,9.13961738084482,0.12951302382572,0.983081726131763,"Male"
"148",1.47,9.1585466102485,0.129399391407232,0.973974704610944,"Male"
"149",1.48,9.17776044514247,0.12928724586181,0.964930065565709,"Male"
"150",1.49,9.19726367515375,0.129176576585764,0.955947496215269,"Male"
"151",1.5,9.21706536435386,0.129067372421059,0.947026707166849,"Male"
"152",1.51,9.23717112695576,0.128959621287848,0.938167410311942,"Male"
"153",1.52,9.25757996468539,0.128853309854661,0.929369323410937,"Male"
"154",1.53,9.27828835229221,0.128748423237592,0.920632171204549,"Male"
"155",1.54,9.29929221549058,0.128644945637075,0.91195568494591,"Male"
"156",1.55,9.32058885124344,0.128542860936646,0.903339604369245,"Male"
"157",1.56,9.34218119427995,0.12844215183017,0.894783688949229,"Male"
"158",1.57,9.36407282046866,0.128342800853572,0.886287703226027,"Male"
"159",1.58,9.3862625769321,0.128244790873178,0.87785142109896,"Male"
"160",1.59,9.40874146334153,0.128148106123527,0.869474680905355,"Male"
